Entidad;Sala;Dirección ;CP;Provincia;Municipio;Responsables ;Teléfono/s ;FAX;email;Dirección WEB;Coordenadas
AYUNTAMIENTO DE CIUDAD RODRIGO;TEATRO NUEVO FERNANDO ARRABAL;Pza. del Conde, 2. Aptdo. de Correos, 59;37500;Salamanca;Ciudad Rodrigo;Socorro;923-461862;923-498401;teatronuevo@aytociudadrodrigo.es;;40.5971274, -6.532475499999999
AYUNTAMIENTO DE PEÑARANDA DE BRACAMONTE;TEATRO CALDERÓN;Pza. Constitución, 17;37300;Salamanca;Peñaranda de Bracamonte;Mª Jesús Rodríguez Macias;923-541200;923-541687;dinamizacion.cultura@bracamonte.es;;40.9013306, -5.1991108
AYUNTAMIENTO DE PEÑARANDA DE BRACAMONTE;TEATRO DE LA FUNDACIÓN GERMÁN SÁNCHEZ RUIPEREZ;Pza. Constitución, 17;37300;Salamanca;Peñaranda de Bracamonte;Mª Jesús Rodríguez Macias;923-541200;923-541687;dinamizacion.cultura@bracamonte.es;;40.9010512, -5.2003773
FUNDACIÓN SALAMANCA CIUDAD DE CULTURA Y SABERES;CAEM (SALA B);Plaza del Liceo s/n;37002;Salamanca;Salamanca;Ignacio Gallego Macías;923-281716;923-272331;igallego@ciudaddecultura.org;;40.9598445, -5.652691099999999
FUNDACIÓN SALAMANCA CIUDAD DE CULTURA Y SABERES;TEATRO LICEO;Plaza del Liceo s/n;37002;Salamanca;Salamanca;Ignacio Gallego Macías;923-281716;923-272331;igallego@ciudaddecultura.org;;40.9662752, -5.662528099999999
AYUNTAMIENTO DE BEJAR;TEATRO CERVANTES;C/ Ronda de Navarra, 7;37700;Salamanca;Bejar;Manuel Garrote Prieto;923-400115;923-400115;teatrocervantes@aytobejar.com;;40.3875427, -5.7703942
DIPUTACION DE SEGOVIA;TEATRO JUAN BRAVO;Pza. Mayor, 6;40001;Segovia;Segovia;Marco Antonio Costa Herranz;921-460036/39;921-460040;direccion@teatrojuanbravo.org / informacion@teatrojuanbravo.org;www.teatrojuanbravo.org;40.9505424, -4.1234622
AYUNTAMIENTO DE EL ESPINAR;TEATRO AUDITORIO GONZALO MENÉNDEZ PIDAL;Pza. de la Constitución, 1;40400;Segovia;El Espinar;Mª Ángeles Mercado Romano;921181342;;cultura@aytoelespinar.com;;40.71512832424537, -4.246882028966157
AYUNTAMIENTO DE SORIA;CENTRO CULTURAL PALACIO DE LA AUDIENCIA;Pza. Mayor, s/n.;42071;Soria;Soria;Departamento de Cultura;975-234114 / 975-234117;975-229718;cultura@soria.es;;41.7632775, -2.4637344
AYUNTAMIENTO DE LAGUNA DE DUERO;TEATRO CASA DE LAS ARTES;Avda. Juan de Austria, s/n;47140;Valladolid;Laguna de Duero;María Cortijo Calvo;983-542403;983-542312;casadelasartes@lagunadeduero.org;;41.5883848, -4.727312299999999
AYUNTAMIENTO DE VALLADOLID / FUNDACIÓN MUNICIPAL DE CULTURA;ESPACIO LAVA. SALA CONCHA VELASCO;C/ Torrecilla, 5.;47003;Valladolid;Valladolid;Juan I. Herrero Fernández;983-426246;983-426254;jherrero@fmcva.org;;41.6311546, -4.7396536
AYUNTAMIENTO DE MEDINA DEL CAMPO;AUDITORIO MUNICIPAL DE MEDINA DEL CAMPO;Plaza Mayor 1;47400;Valladolid;Medina del Campo;Eduardo Lopez Velasco;983-802467;983-812365;cultura@ayto-medinadelcampo.es;;41.306237, -4.9146639
AYUNTAMIENTO DE VALLADOLID / FUNDACIÓN MUNICIPAL DE CULTURA;TEATRO CALDERÓN. SALA MIGUEL DELIBES;C/ Torrecilla, 5.;47003;Valladolid;Valladolid;Juan I. Herrero Fernández;983-426246;983-426254;jherrero@fmcva.org;;41.6540122, -4.7246868
AYUNTAMIENTO DE ZAMORA;TEATRO PRINCIPAL;Pza. Mayor, 1;49001;Zamora;Zamora;José Maria Esbec;980-534719;980-530785;josemaria.esbec@zamora.es;;41.5045405, -5.7464134
AYUNTAMIENTO DE BENAVENTE;TEATRO REINA SOFÍA;Pza. del Grano, 3;49600;Zamora;Benavente;Celia Escudero;980-633332;980-636108;cultura@benavente.es;;42.0020646, -5.6794753
AYUNTAMIENTO DE TORO;TEATRO LATORRE;Pza. San Francisco, 16;49800;Zamora;Toro;Antonio Domingo Pelayo;980-692754;980-694725;alcaldia@toroayto.es/sambateatro@hotmail.com / teatrolatorretoro@hotmail.com;;41.522241, -5.388985
